,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
223,4264531,2 bedroom Apartment for sale in Malaga,218000.0,,2,,,False,https://www.kyero.com/en/property/4264531,http://production.kyero.s3.amazonaws.com/4264/4264531/47450777_original.jpg,True,,fitted kitchen,,,,,,,,,Awaiting details,,,,gymnasium,,modern,36.719623,-4.420023
224,3976004,2 bedroom Apartment for sale in Malaga,300000.0,,2,,,False,https://www.kyero.com/en/property/3976004,http://production.kyero.s3.amazonaws.com/3976/3976004/46114642_original.jpg,True,,,jacuzzi,,various terraces,,"pool, heated pool",,,,Awaiting details,24h security system,underground parking,,,,,36.719623,-4.420023
225,4601313,2 bedroom Apartment for sale in Malaga,178200.0,,2,,,False,https://www.kyero.com/en/property/4601313,http://production.kyero.s3.amazonaws.com/4601/4601313/53932139_original.jpg,True,various store rooms,,,,,,,,,,Awaiting details,,underground parking,,,,modern,36.719623,-4.420023
226,4601318,2 bedroom Apartment for sale in Malaga,270000.0,,2,,,False,https://www.kyero.com/en/property/4601318,http://production.kyero.s3.amazonaws.com/4601/4601318/53932203_original.jpg,True,,,,,roof terrace,,pool,,,,Awaiting details,,,,,,modern,36.719623,-4.420023
227,4617239,4 bedroom Apartment for sale in Malaga,579000.0,,4,,,False,https://www.kyero.com/en/property/4617239,http://production.kyero.s3.amazonaws.com/4617/4617239/54237092_original.jpg,True,,,,,level plot,floor heating,private pool,,,,Awaiting details,,,,,mountain views,,36.719623,-4.420023
228,4617256,4 bedroom Apartment for sale in Malaga,995000.0,,4,,,False,https://www.kyero.com/en/property/4617256,http://production.kyero.s3.amazonaws.com/4617/4617256/54237325_original.jpg,True,,,,garden,,,,,,,Awaiting details,,,,,,newly built,36.719623,-4.420023
229,4617268,2 bedroom Apartment for sale in Malaga,119900.0,,2,,,False,https://www.kyero.com/en/property/4617268,http://production.kyero.s3.amazonaws.com/4617/4617268/54237507_original.jpg,True,"reception with fireplace, store room",,,,various terraces,,,,,,Awaiting details,,underground parking,,,,spacious accommodation,36.719623,-4.420023
230,4617280,2 bedroom Apartment for sale in Malaga,129000.0,,2,,,False,https://www.kyero.com/en/property/4617280,http://production.kyero.s3.amazonaws.com/4617/4617280/54237685_original.jpg,True,reception with fireplace,,,,,,private pool,,,,Awaiting details,,,,,sea views,,36.719623,-4.420023
231,4617288,2 bedroom Apartment for sale in Malaga,225000.0,,2,,,False,https://www.kyero.com/en/property/4617288,http://production.kyero.s3.amazonaws.com/4617/4617288/54237776_original.jpg,True,,,,,terrace,,,,,,Awaiting details,gated complex,garage,,,,,36.719623,-4.420023
232,4617295,3 bedroom Apartment for sale in Malaga,369000.0,,3,,,True,https://www.kyero.com/en/property/4617295,http://production.kyero.s3.amazonaws.com/4617/4617295/54237844_original.jpg,True,,,,garden,sunny terraces,,,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
233,3269454,4 bedroom Villa for sale in Malaga,599000.0,,4,,,False,https://www.kyero.com/en/property/3269454,http://production.kyero.s3.amazonaws.com/3269/3269454/46114337_original.jpg,True,,,,,,,,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
234,4249815,2 bedroom Apartment for sale in Malaga,215000.0,,2,,,True,https://www.kyero.com/en/property/4249815,http://production.kyero.s3.amazonaws.com/4249/4249815/47147481_original.jpg,True,,,,,,,private pool,,,,Awaiting details,,underground parking,,,,,36.719623,-4.420023
